開催月日,時間,会議名,主な審議事項,備考
令和3年4月6日(火),,,,入学式
4月8日(木),13:30,(情)学院教授会,年度計画の実施状況,
4月8日(木),引き続き,(情)研究院教授会,年度計画の実施状況,
4月8日(木),引き続き,(情)コース長会議,学位論文受理(課程6月・論博9月学位授与予定),
4月8日(木),引き続き,(情)部門長会議,,
4月9日(金),13:30,(工)学部代議員会,,
4月9日(金),引き続き,(工)研究院代議員会,,
4月9日(金),引き続き,(工)学院代議員会,学位論文受理(課程6月・論博9月学位授与予定),
4月14日(水),15:00,(化)代議員会議,学位論文受理(課程6月),
5月12日(水),15:00,(化)教授会,,
5月12日(水),引き続き,(化)代議員会議,DC1年(4月入学)主任指導教員・副指導教員決定MC2年(4月入学)副指導教員決定,
5月13日(木),13:30,(情)コース長会議,,
5月13日(木),引き続き,(情)部門長会議,,
5月14日(金),13:30,(工)学部代議員会,,
5月14日(金),引き続き,(工)研究院代議員会,,
5月14日(金),引き続き,(工)学院代議員会,,
6月4日(金),10:30,(工)学部教授会,年度計画,大学祭(6/4-6)
6月4日(金),引き続き,(工)研究院教授会,年度計画,
6月4日(金),引き続き,(工)学院教授会,年度計画,
6月4日(金),13:30,(工)学部代議員会,卒業者判定,
6月4日(金),引き続き,(工)研究院代議員会,,
6月4日(金),引き続き,(工)学院代議員会,学位論文審査，課程修了判定，大学院入試合格者決定(e3特別選抜),
6月4日～6月6日,,,,大学祭
6月9日(水),15:00,(化)代議員会議,学位論文審査，課程修了判定MC1年(4月入学)主任指導教員決定,
6月3日(木),13:30,(情)学院教授会,年度計画,
6月3日(木),引き続き,(情)研究院教授会,年度計画,
6月3日(木),引き続き,(情)コース長会議,学位論文審査，課程修了判定,
6月3日(木),引き続き,(情)部門長会議,,
7月1日(木),13:30,(情)コース長会議,学位論文受理(課程9月・論博12月学位授与予定),
7月1日(木),引き続き,(情)部門長会議,,
7月2日(金),13:30,(工)学部代議員会,編入学試験(特別選抜)合格者決定,
7月2日(金),引き続き,(工)研究院代議員会,研究生の入学許可,
7月2日(金),引き続き,(工)学院代議員会,学位論文受理(課程9月・論博12月学位授与予定),
7月7日(水),15:00,(化)代議員会議,学位論文受理(課程9月),
7月28日(水),15:00,(化)代議員会議,AGS合格者決定,
7月30日(金),13:30,(工)研究院代議員会,,
7月30日(金),引き続き,(工)学院代議員会,,
9月1日(水),15:00,(化)代議員会議,AGS募集要項(第2次)，学位論文審査，課程修了判定,
9月3日(金),13:30,(情)コース長会議,学位論文審査，課程修了判定，大学院入試合格者決定，科目等履修生・聴講生の入学許可,
9月3日(金),引き続き,(情)部門長会議,研究生の入学許可,
9月8日(水),15:00,(化)代議員会議,大学院入試合格者決定，研究生・科目等履修生・聴講生の入学許可,
9月13日(月),13:30,(工)学部代議員会,卒業者判定，編入学試験(一般選抜)及び学士入学試験合格者決定，研究生・科目等履修生・聴講生の入学許可,
9月13日(月),引き続き,(工)学院代議員会,学位論文審査，課程修了判定，大学院入試合格者決定，科目等履修生・聴講生の入学許可,
9月13日(月),引き続き,(工)研究院代議員会,研究生の入学許可,
10月7日(木),13:30,(情)学院教授会,,
10月7日(木),引き続き,(情)研究院教授会,,
10月7日(木),引き続き,(情)コース長会議,学位論文受理(課程12月・論博3月学位授与予定),
10月7日(木),引き続き,(情)部門長会議,,
10月8日(金),13:30,(工)学部代議員会,,
10月8日(金),引き続き,(工)研究院代議員会,,
10月8日(金),引き続き,(工)学院代議員会,学位論文受理(課程12月・論博3月学位授与予定),
10月13日(水),15:00,(化)代議員会議,学位論文受理(課程12月)，募集要項(第2次),
11月4日(木),13:30,(情)コース長会議,,
11月4日(木),引き続き,(情)部門長会議,,
11月5日(金),13:30,(工)学部代議員会,,
11月5日(金),引き続き,(工)研究院代議員会,,
11月5日(金),引き続き,(工)学院代議員会,,
11月10日(水),15:00,(化)代議員会議,DC1年(10月入学)主任指導教員・副指導教員決定MC2年(10月入学)副指導教員決定,
12月2日(木),13:30,(情)学院教授会,,
12月2日(木),引き続き,(情)研究院教授会,,
12月2日(木),引き続き,(情)コース長会議,学位論文審査，課程修了判定，学位論文受理(課程3月学位授与予定①),
12月2日(木),引き続き,(情)部門長会議,,
12月3日(金),13:30,(工)研究院教授会,,教授会懇親会
12月3日(金),引き続き,(工)学院教授会,,
12月3日(金),14:30,(工)学部代議員会,卒業者判定,
12月3日(金),引き続き,(工)研究院代議員会,,
12月3日(金),引き続き,(工)学院代議員会,学位論文審査，課程修了判定，学位論文受理(課程3月学位授与予定①)，大学院2次入試合格者決定(e3特別選抜),
12月8日(水),15:00,(化)教授会,,
12月8日(水),引き続き,(化)代議員会議,学位論文審査，課程修了判定，学位論文受理(課程3月学位授与予定①)MC1年(10月入学)主任指導教員決定,
令和4年1月6日(木),13:30,(情)コース長会議,学位論文受理(課程3月②・論博6月学位授与予定),
令和4年1月6日(木),引き続き,(情)部門長会議,,
1月7日(金),13:30,(工)学部代議員会,,
1月7日(金),引き続き,(工)研究院代議員会,研究生の入学許可,
1月7日(金),引き続き,(工)学院代議員会,学位論文受理(課程3月②・論博6月学位授与予定),
1月12日(水),15:00,(化)代議員会議,学位論文受理(課程3月学位授与予定②),
1月15日(土)～1月16日(日),,,,大学入学共通テスト
2月2日(水),15:00,(化)教授会,,
2月2日(水),引き続き,(化)代議員会議,AGS(第2次)合格者決定,
2月3日(木),13:30,(情)研究院教授会,研究院長候補者選挙,
2月3日(木),引き続き,(情)学院教授会,学院長候補者選考,
2月3日(木),引き続き,(情)コース長会議,,
2月3日(木),引き続き,(情)部門長会議,名誉教授の推薦,
2月4日(金),13:30,(工)学部代議員会,,
2月4日(金),引き続き,(工)研究院代議員会,名誉教授の推薦,
2月4日(金),引き続き,(工)学院代議員会,,
2月28日(月),13:30,(情)コース長会議,学位論文審査，課程修了判定，大学院2次入試合格者決定,
2月28日(月),引き続き,(情)部門長会議,,
3月2日(水),15:00,(化)代議員会議,学位論文審査，課程修了判定,
3月4日(金),13:30,(工)学部代議員会,卒業者判定,
3月4日(金),引き続き,(工)研究院代議員会,,
3月4日(金),引き続き,(工)学院代議員会,学位論文審査，課程修了判定，大学院2次入試合格者決定,
3月9日(水),15:00,(化)教授会,,
3月9日(水),引き続き,(化)代議員会議,大学院2次入試合格者決定，研究生・科目等履修生・聴講生等許可，募集要項(AGSを含む。)，国際連携総合化学プログラムの実施,
3月14日(月),10:30,(工)学部教授会,年度計画の実施状況,教授会送別会
3月14日(月),引き続き,(工)研究院教授会,年度計画の実施状況,
3月14日(月),引き続き,(工)学院教授会,年度計画の実施状況,
3月14日(月),13:30,(工)学部代議員会,"コース分属決定，研究生・科目等履修生・聴講生等許可, 卒業者判定",
3月14日(月),引き続き,(工)研究院代議員会,研究生の入学許可,
