Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description
入学式,04/06/2022,,04/06/2022,,True,"開催月日: 令和4年4月6日(水)
備考: 入学式"
(情)学院教授会,04/07/2022,13:30,04/07/2022,16:30,False,"開催月日: 4月7日(木)
時間: 13:30
会議名: (情)学院教授会
主な審議事項: 年度計画の実施状況"
(情)研究院教授会,04/07/2022,13:30,04/07/2022,16:30,False,"開催月日: 4月7日(木)
時間: 引き続き
会議名: (情)研究院教授会
主な審議事項: 年度計画の実施状況"
(情)コース長会議,04/07/2022,13:30,04/07/2022,16:30,False,"開催月日: 4月7日(木)
時間: 引き続き
会議名: (情)コース長会議
主な審議事項: 学位論文受理(課程6月・論博9月学位授与予定)"
(情)部門長会議,04/07/2022,13:30,04/07/2022,16:30,False,"開催月日: 4月7日(木)
時間: 引き続き
会議名: (情)部門長会議"
(工)学部代議員会,04/08/2022,13:30,04/08/2022,16:30,False,"開催月日: 4月8日(金)
時間: 13:30
会議名: (工)学部代議員会"
(工)研究院代議員会,04/08/2022,13:30,04/08/2022,16:30,False,"開催月日: 4月8日(金)
時間: 引き続き
会議名: (工)研究院代議員会"
(工)学院代議員会,04/08/2022,13:30,04/08/2022,16:30,False,"開催月日: 4月8日(金)
時間: 引き続き
会議名: (工)学院代議員会
主な審議事項: 学位論文受理(課程6月・論博9月学位授与予定)"
(化)代議員会議,04/13/2022,15:00,04/13/2022,18:00,False,"開催月日: 4月13日(水)
時間: 15:00
会議名: (化)代議員会議
主な審議事項: 学位論文受理(課程6月)"
(化)教授会,05/11/2022,15:00,05/11/2022,18:00,False,"開催月日: 5月11日(水)
時間: 15:00
会議名: (化)教授会"
(化)代議員会議,05/11/2022,15:00,05/11/2022,18:00,False,"開催月日: 5月11日(水)
時間: 引き続き
会議名: (化)代議員会議
主な審議事項: DC1年(4月入学)主任指導教員・副指導教員決定MC2年(4月入学)副指導教員決定"
(情)コース長会議,05/12/2022,13:30,05/12/2022,16:30,False,"開催月日: 5月12日(木)
時間: 13:30
会議名: (情)コース長会議"
(情)部門長会議,05/12/2022,13:30,05/12/2022,16:30,False,"開催月日: 5月12日(木)
時間: 引き続き
会議名: (情)部門長会議
備考: 　"
(工)学部代議員会,05/13/2022,13:30,05/13/2022,16:30,False,"開催月日: 5月13日(金)
時間: 13:30
会議名: (工)学部代議員会"
(工)研究院代議員会,05/13/2022,13:30,05/13/2022,16:30,False,"開催月日: 5月13日(金)
時間: 引き続き
会議名: (工)研究院代議員会"
(工)学院代議員会,05/13/2022,13:30,05/13/2022,16:30,False,"開催月日: 5月13日(金)
時間: 引き続き
会議名: (工)学院代議員会"
(情)学院教授会,06/02/2022,13:30,06/02/2022,16:30,False,"開催月日: 6月2日(木)
時間: 13:30
会議名: (情)学院教授会
主な審議事項: 年度計画"
(情)研究院教授会,06/02/2022,13:30,06/02/2022,16:30,False,"開催月日: 6月2日(木)
時間: 引き続き
会議名: (情)研究院教授会
主な審議事項: 年度計画"
(情)コース長会議,06/02/2022,13:30,06/02/2022,16:30,False,"開催月日: 6月2日(木)
時間: 引き続き
会議名: (情)コース長会議
主な審議事項: 学位論文審査，課程修了判定"
(情)部門長会議,06/02/2022,13:30,06/02/2022,16:30,False,"開催月日: 6月2日(木)
時間: 引き続き
会議名: (情)部門長会議"
(工)学部教授会,06/03/2022,10:30,06/03/2022,13:30,False,"開催月日: 6月3日(金)
時間: 10:30
会議名: (工)学部教授会
主な審議事項: 年度計画
備考: 大学祭(6/3-5)"
(工)研究院教授会,06/03/2022,10:30,06/03/2022,13:30,False,"開催月日: 6月3日(金)
時間: 引き続き
会議名: (工)研究院教授会
主な審議事項: 年度計画"
(工)学院教授会,06/03/2022,10:30,06/03/2022,13:30,False,"開催月日: 6月3日(金)
時間: 引き続き
会議名: (工)学院教授会
主な審議事項: 年度計画"
