開催月日,時間,会議名,主な審議事項,備考
令和3年4月6日(火),,,,入学式
4月8日(木),13:30,(情)学院教授会,年度計画の実施状況,
4月8日(木),引き続き,(情)研究院教授会,年度計画の実施状況,
6月4日(金),10:30,(工)学部教授会,年度計画,大学祭(6/4-6)
6月3日(木),13:30,(情)学院教授会,年度計画,
6月3日(木),引き続き,(情)研究院教授会,年度計画,
10月7日(木),13:30,(情)学院教授会,,
10月7日(木),引き続き,(情)研究院教授会,,
12月2日(木),13:30,(情)学院教授会,,
12月2日(木),引き続き,(情)研究院教授会,,
1月15日(土)～1月16日(日),,,,大学入学共通テスト
2月3日(木),13:30,(情)研究院教授会,研究院長候補者選挙,
2月3日(木),引き続き,(情)学院教授会,学院長候補者選考,
3月14日(月),10:30,(工)学部教授会,年度計画の実施状況,教授会送別会
3月17日(木),13:30,(情)学院教授会,,
3月17日(木),引き続き,(情)研究院教授会,,
