Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description
入学式,04/06/2022,,04/06/2022,,True,"開催月日: 令和4年4月6日(水)
備考: 入学式"
(情)学院教授会,04/07/2022,13:30,04/07/2022,16:30,False,"開催月日: 4月7日(木)
時間: 13:30
会議名: (情)学院教授会
主な審議事項: 年度計画の実施状況"
(情)研究院教授会,04/07/2022,13:30,04/07/2022,16:30,False,"開催月日: 4月7日(木)
時間: 引き続き
会議名: (情)研究院教授会
主な審議事項: 年度計画の実施状況"
(情)学院教授会,06/02/2022,13:30,06/02/2022,16:30,False,"開催月日: 6月2日(木)
時間: 13:30
会議名: (情)学院教授会
主な審議事項: 年度計画"
(情)研究院教授会,06/02/2022,13:30,06/02/2022,16:30,False,"開催月日: 6月2日(木)
時間: 引き続き
会議名: (情)研究院教授会
主な審議事項: 年度計画"
(工)学部教授会,06/03/2022,10:30,06/03/2022,13:30,False,"開催月日: 6月3日(金)
時間: 10:30
会議名: (工)学部教授会
主な審議事項: 年度計画
備考: 大学祭(6/3-5)"
大学祭,06/03/2022,,06/06/2022,,True,"開催月日: 6月3日～6月5日
備考: 大学祭"
(情)学院教授会,10/06/2022,13:30,10/06/2022,16:30,False,"開催月日: 10月6日(木)
時間: 13:30
会議名: (情)学院教授会"
(情)研究院教授会,10/06/2022,13:30,10/06/2022,16:30,False,"開催月日: 10月6日(木)
時間: 引き続き
会議名: (情)研究院教授会"
(情)学院教授会,12/01/2022,13:30,12/01/2022,16:30,False,"開催月日: 12月1日(木)
時間: 13:30
会議名: (情)学院教授会"
(情)研究院教授会,12/01/2022,13:30,12/01/2022,16:30,False,"開催月日: 12月1日(木)
時間: 引き続き
会議名: (情)研究院教授会"
大学入学共通テスト,01/14/2023,,01/16/2023,,True,"開催月日: 1月14日(土)～1月15日(日)
備考: 大学入学共通テスト"
(情)研究院教授会,02/02/2023,13:30,02/02/2023,16:30,False,"開催月日: 2月2日(木)
時間: 13:30
会議名: (情)研究院教授会"
(情)学院教授会,02/02/2023,13:30,02/02/2023,16:30,False,"開催月日: 2月2日(木)
時間: 引き続き
会議名: (情)学院教授会"
(工)学部教授会,02/03/2023,13:30,02/03/2023,16:30,False,"開催月日: 2月3日(金)
時間: 引き続き
会議名: (工)学部教授会
主な審議事項: 工学部長，副工学部長，評議員候補者選考"
(工)学部教授会,03/13/2023,10:30,03/13/2023,13:30,False,"開催月日: 3月13日(月)
時間: 10:30
会議名: (工)学部教授会
主な審議事項: 年度計画の実施状況
備考: 教授会送別会"
(情)学院教授会,03/16/2023,13:30,03/16/2023,16:30,False,"開催月日: 3月16日(木)
時間: 13:30
会議名: (情)学院教授会"
(情)研究院教授会,03/16/2023,13:30,03/16/2023,16:30,False,"開催月日: 3月16日(木)
時間: 引き続き
会議名: (情)研究院教授会"
